,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
323,2008,135000,40000,Petrol,Individual,Manual,Fourth & Above Owner,12.85,1396,99.6,5
324,2016,445000,63000,Diesel,Dealer,Manual,First Owner,15.3,2956,83.8,9
325,2011,385000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,8
326,2016,650000,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,5
327,2015,525000,248000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5
328,2017,725000,45000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
329,2015,780000,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
330,1999,50000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5
331,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
332,2011,140000,50000,Petrol,Individual,Manual,Third Owner,20.92,998,67.1,5
333,2008,100000,40000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,5
334,2007,100000,60000,Petrol,Individual,Manual,Third Owner,14.7,1150,76.0,5
335,2015,600000,70000,Diesel,Individual,Manual,Second Owner,27.39,1248,74.0,5
336,2015,600000,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
337,2013,1550000,25000,Diesel,Individual,Automatic,First Owner,14.84,2143,170.0,5
338,2007,118000,110000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
339,2011,88000,97343,Diesel,Dealer,Manual,First Owner,18.8,1248,90.0,5
340,2011,590000,80000,Diesel,Individual,Manual,Third Owner,15.1,2179,140.0,7
341,2012,300000,70000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5
342,2012,290000,27000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
343,2016,500000,32000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
344,2011,484999,80000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,5
345,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5
346,2018,500000,25000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5
347,2006,150000,100000,Petrol,Individual,Manual,Second Owner,14.0,1061,64.0,5
348,2014,755000,29340,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
349,2015,210000,50000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
350,2017,1282000,45000,Diesel,Individual,Manual,First Owner,17.6,2179,153.86,7
351,2017,810000,47747,Diesel,Dealer,Manual,First Owner,28.09,1248,88.5,5
352,2019,650000,15000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5
353,2009,400000,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
354,2011,340000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
355,2009,210000,90000,Diesel,Individual,Manual,Second Owner,18.1,1493,110.0,5
356,2013,210000,120000,Petrol,Individual,Manual,First Owner,15.64,1193,64.1,5
357,2014,550000,76000,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,5
358,2017,1748999,33019,Diesel,Dealer,Manual,First Owner,13.68,2393,147.8,7
359,2015,430000,110000,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,7
360,2017,325000,3564,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
361,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5
362,2011,625000,120000,Diesel,Individual,Manual,Second Owner,10.5,2835,116.9,6
363,2019,490000,7000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5
364,2017,2700000,23000,Diesel,Dealer,Automatic,First Owner,17.9,2143,136.0,5
365,2016,325000,70000,Petrol,Individual,Manual,Second Owner,19.44,1198,67.0,7
366,2016,300000,66693,Petrol,Dealer,Manual,First Owner,25.17,799,53.3,5
367,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
368,2012,430000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
369,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5
370,2012,222000,120000,LPG,Individual,Manual,First Owner,21.1,814,55.2,5
371,2006,250000,120000,Diesel,Individual,Manual,Third Owner,10.5,2179,120.0,8
372,2011,300000,110000,Petrol,Individual,Manual,First Owner,17.6,1496,88.73,5
373,2018,750000,15000,Petrol,Individual,Manual,First Owner,21.1,998,100.5,5
374,2015,600000,136000,Diesel,Individual,Manual,First Owner,19.01,1461,108.45,5
375,2011,302000,103000,Diesel,Individual,Manual,Third Owner,20.0,1399,68.0,5
376,2015,650000,26000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5
377,2014,560000,72000,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5
378,2018,475000,7800,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5
379,2016,925000,22000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
380,2017,731000,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
381,2000,31000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4
382,2009,155000,54000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
383,2015,300000,101500,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5
384,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
385,2015,391000,55000,Diesel,Dealer,Manual,First Owner,24.4,1120,71.0,5
386,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
387,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
388,2011,400000,110000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8
389,2017,950000,52236,Diesel,Dealer,Manual,First Owner,15.4,2179,120.0,7
390,2015,350000,38000,Petrol,Individual,Automatic,Second Owner,23.95,998,67.05,5
391,2014,550000,126000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7
392,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
393,2012,625000,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
394,2002,96000,120000,Diesel,Individual,Manual,First Owner,14.07,2956,83.1,7
395,2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.2,1061,64.0,5
396,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
397,2015,400000,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
398,2014,360000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5
399,2019,1140000,10000,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,5
400,2011,150000,120000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5
401,2016,940000,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
402,1999,80000,80000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4
403,2014,200000,43381,Petrol,Dealer,Manual,Second Owner,22.74,796,47.3,5
404,2016,710000,40000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5
405,2010,55000,50000,Petrol,Individual,Manual,Third Owner,26.0,624,35.0,4
406,2019,1125000,3500,Petrol,Dealer,Automatic,First Owner,18.15,998,118.35,5
407,2010,400000,30000,Petrol,Individual,Manual,First Owner,15.6,1196,70.0,5
408,2008,235000,152500,Diesel,Individual,Manual,First Owner,17.8,1248,75.0,5
409,2018,850000,9500,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
410,2005,180000,49455,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
411,2010,350000,90000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5
412,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7
413,2003,130000,80000,Petrol,Individual,Manual,Third Owner,14.2,1597,92.0,5
414,2012,175000,90000,Diesel,Individual,Manual,Third Owner,19.4,1405,70.0,5
415,2019,1090000,16500,Petrol,Dealer,Manual,First Owner,17.0,1197,110.0,5
416,2014,465000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
417,2014,650000,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
418,2017,880000,25000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
419,2010,285000,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,5
420,2012,1680000,129627,Diesel,Dealer,Manual,First Owner,11.5,2982,171.0,7
421,2012,280000,120000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
422,2012,300000,54000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5
423,2005,90000,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
424,2014,225000,120000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
425,2007,65000,120000,Diesel,Individual,Manual,Third Owner,17.2,1396,53.5,5
426,2015,850000,173000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
427,2011,550000,80000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,9
428,2013,300000,57000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
429,2015,390000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
430,2019,500000,60000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
431,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
432,2017,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
433,2006,100000,42500,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
434,2017,550000,46000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
435,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5
436,2011,360000,100000,Diesel,Individual,Manual,First Owner,18.3,1991,147.9,5
437,2013,1000000,75010,Diesel,Dealer,Automatic,First Owner,13.73,1995,148.0,5
438,2013,525000,110000,Diesel,Individual,Manual,Second Owner,13.7,2179,138.1,7
439,2017,957000,60000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5
440,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5
441,2011,390000,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523,63.0,7
442,2020,350000,5000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,5
443,2012,195000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
444,2008,80000,100000,Petrol,Individual,Manual,Third Owner,17.3,1061,64.0,5
445,2013,2000000,35000,Diesel,Individual,Automatic,Second Owner,17.68,1968,174.33,5
446,2016,725000,54000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
447,2017,710000,120000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
448,2010,1200000,35000,Petrol,Individual,Automatic,Second Owner,10.93,2497,204.0,5
449,2017,300000,8000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
450,2016,765000,80000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5
451,2019,990000,15000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
452,2011,180000,70000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5
453,2012,385000,116000,Petrol,Individual,Manual,First Owner,15.0,1598,103.5,5
454,2014,250000,40000,Petrol,Individual,Manual,First Owner,19.0,998,66.1,5
455,2012,170000,120000,Diesel,Individual,Manual,Third Owner,19.09,1396,69.0,5
456,2017,975000,41000,Diesel,Dealer,Manual,First Owner,20.5,1582,126.2,5
457,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5
458,2015,525000,80000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
459,2019,681000,10000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,5
460,2017,650000,32331,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
461,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7
462,2014,361000,26000,Petrol,Individual,Automatic,First Owner,19.34,1198,76.0,5
463,2017,800000,60000,Diesel,Individual,Manual,Second Owner,16.55,2498,105.0,6
464,2019,600000,7500,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,5
465,2015,1400000,170000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7
466,2014,300000,100000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
467,2015,1000000,50000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
468,2015,500000,126000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
469,2009,340000,214000,Petrol,Individual,Manual,Second Owner,13.9,1599,103.2,5
470,2014,550000,110000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5
471,2009,195000,56000,Petrol,Dealer,Manual,Second Owner,19.369999999999997,1248,81.86,5
472,2009,160000,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5
473,2018,450000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5
474,2018,550000,5000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5
475,2005,130000,140000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
476,2003,200000,120000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,7
477,2017,480000,55000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
478,2009,250000,105000,Petrol,Individual,Automatic,Second Owner,12.9,1799,130.0,5
479,2016,550000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
480,2012,135000,120000,Diesel,Individual,Manual,Second Owner,19.0,1405,71.0,5
481,2013,400000,44500,Diesel,Individual,Manual,Second Owner,20.46,1461,83.8,5
482,2017,775000,32000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5
483,2015,530000,110000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
484,2017,1100000,20000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
485,2018,750000,17000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
486,2016,350000,49600,Diesel,Individual,Manual,Second Owner,25.32,1198,77.0,6
487,2016,470000,13500,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5
488,2016,1898999,46000,Diesel,Dealer,Automatic,First Owner,18.25,1968,187.74,5
489,2011,190000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5
490,2014,645000,139000,Diesel,Individual,Automatic,First Owner,11.79,2179,120.0,8
491,2017,875000,77524,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5
492,2013,680000,37500,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7
493,2015,434999,40000,Petrol,Dealer,Manual,First Owner,18.9,1197,82.0,5
494,2013,434999,120000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
495,2018,750000,22000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,5
496,2010,148000,70000,Petrol,Individual,Manual,Third Owner,14.7,1150,76.0,5
497,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5
498,2014,525000,78000,Diesel,Dealer,Manual,Second Owner,15.05,2179,147.9,7
499,2012,260000,31000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
500,2015,615000,72000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
501,2017,330000,90000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5
502,2017,328000,68000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,5
503,2011,114999,172000,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,5
504,2017,1789999,36000,Diesel,Dealer,Manual,First Owner,13.68,2393,147.8,8
505,2015,320000,91000,Diesel,Individual,Manual,Third Owner,24.4,1120,71.0,5
506,2017,400000,65000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
507,2013,275000,20000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
508,2011,420000,28100,Petrol,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5
509,2017,1450000,7000,Petrol,Dealer,Automatic,Second Owner,14.53,1794,138.1,5
510,2013,375000,212000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
511,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
512,1999,70000,65000,Petrol,Individual,Manual,Fourth & Above Owner,15.9,1298,85.0,5
513,2016,400000,80000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5
514,2012,275000,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
515,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
516,2018,900000,30000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5
517,2016,2100000,80000,Diesel,Individual,Automatic,First Owner,10.91,3198,197.0,7
518,2015,130000,60000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,4
519,2018,500000,60000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,6
520,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5
521,2018,450000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5
522,2016,480000,30000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
523,2018,1150000,44000,Diesel,Individual,Automatic,First Owner,17.01,1582,126.2,5
524,2011,270000,105000,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,5
525,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
526,2007,45000,73257,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
527,2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
528,2017,670000,50000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
529,2017,615000,40000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.7,5
530,2016,260000,65000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
531,2016,425000,120000,Diesel,Individual,Manual,Third Owner,26.59,1248,74.0,5
532,2016,575000,53000,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,5
533,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
534,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5
535,2013,370000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
536,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5
537,2008,148000,80000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5
538,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
539,2011,450000,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7
540,2018,275000,20000,Petrol,Individual,Automatic,First Owner,23.0,999,67.0,5
541,2013,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796,47.3,5
542,2017,220000,40000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8
543,2014,355000,121000,Petrol,Dealer,Manual,First Owner,19.1,1197,82.0,5
544,1998,68000,110000,Petrol,Individual,Manual,Third Owner,13.1,1598,77.0,5
545,2014,220000,100000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
546,2013,550000,100600,Diesel,Individual,Manual,Third Owner,20.46,1461,83.8,5
547,2011,250000,90000,Diesel,Individual,Manual,Second Owner,13.55,2179,118.35,7
548,2013,350000,70000,Diesel,Individual,Manual,Second Owner,21.9,1396,88.76,5
549,2011,160000,100000,Petrol,Individual,Manual,Second Owner,15.37,1196,73.0,7
550,2017,400000,30000,Petrol,Individual,Automatic,Second Owner,23.1,998,67.04,5
551,2013,355000,68000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,5
552,2010,425000,83585,Diesel,Dealer,Manual,First Owner,21.43,1364,87.2,5
553,2015,480000,87847,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,5
554,2017,630000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
555,2019,1000000,22000,Petrol,Individual,Manual,First Owner,17.0,1197,110.0,5
556,2011,350000,93500,Diesel,Individual,Manual,Second Owner,18.6,1388,67.0,5
557,2018,775000,47000,Petrol,Dealer,Manual,Second Owner,16.02,1373,93.7,7
558,2017,1650000,50000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5
559,2018,570000,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
560,2012,400000,58400,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
561,2017,735000,70000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
562,2017,670000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
563,2019,930000,15000,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,5
564,2010,165000,56000,Petrol,Individual,Manual,Third Owner,17.92,1086,62.1,5
565,2007,80000,63000,Petrol,Individual,Automatic,Third Owner,18.9,1061,67.0,5
566,2011,260000,65000,Petrol,Individual,Automatic,Third Owner,12.6,1586,103.3,5
567,2016,770000,50000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
568,2010,125000,60000,Petrol,Individual,Manual,First Owner,15.26,1150,74.9,5
569,2015,1250000,160000,Diesel,Individual,Manual,Second Owner,13.5,2477,178.0,7
570,2018,438999,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
571,2018,1180000,5500,Petrol,Individual,Manual,First Owner,17.4,1497,117.6,5
572,2015,649000,39000,Petrol,Dealer,Manual,First Owner,17.4,1497,117.3,5
573,2009,140000,140000,Diesel,Individual,Manual,Second Owner,13.8,1399,68.0,5
574,2001,52000,70000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5
575,2017,500000,26000,Petrol,Individual,Automatic,First Owner,19.34,1198,76.0,5
576,2008,365000,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609,120.0,8
577,2007,600000,260000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,7
578,2012,175000,60000,Petrol,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,5
579,2012,415000,125000,Diesel,Individual,Manual,Second Owner,21.43,1364,87.2,5
580,2011,250000,140000,Petrol,Individual,Automatic,Second Owner,14.4,1598,103.6,5
581,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
582,2015,600000,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
583,2008,114999,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0,5
584,2017,660000,80000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
585,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
586,2011,300000,119000,Diesel,Individual,Manual,Second Owner,16.52,1991,123.7,5
587,2016,250000,110000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
588,2014,250000,25000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
589,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
590,2015,499000,61000,Diesel,Dealer,Manual,Second Owner,22.71,1461,84.8,5
591,2012,220000,70000,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,5
592,2014,999000,25000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,9
593,2015,320000,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
594,2003,55599,36088,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
595,2013,380000,110000,Diesel,Individual,Manual,Second Owner,21.27,1396,88.76,5
596,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5
597,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
598,2015,600000,135000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
599,2017,430000,113000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5
600,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
601,2012,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
602,2013,300000,120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9,1248,74.0,5
603,2012,150000,70000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5
604,2013,200000,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
605,2015,600000,60000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
606,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5
607,2014,160000,90000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5
608,2008,165000,120000,Diesel,Individual,Manual,Third Owner,14.8,1998,68.0,5
609,2018,310000,7000,Petrol,Individual,Manual,First Owner,22.5,999,67.0,5
610,2016,530000,120000,Petrol,Individual,Manual,Second Owner,17.19,1197,81.86,5
611,2016,1516000,120000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,7
612,2007,78000,38000,Petrol,Individual,Manual,Second Owner,15.3,1193,65.3,5
613,2003,125000,120000,Diesel,Individual,Manual,Third Owner,12.7,2609,116.6,8
614,2013,900000,18000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7
615,2018,950000,13887,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
616,2017,320000,28000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
617,2016,240000,40000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,5
618,2014,250000,20000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
619,2018,300000,30000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
620,2018,550000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
621,2014,260000,38000,Diesel,Individual,Manual,First Owner,22.1,1248,74.0,5
622,2004,100000,60000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,5
623,2013,290000,40000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
624,2016,500000,35000,Petrol,Individual,Manual,First Owner,17.0,1198,73.75,5
625,2010,235000,90000,Diesel,Individual,Manual,First Owner,14.0,1948,90.0,9
626,2006,50000,40000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4
627,2015,575000,60000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
628,2018,850000,59000,Diesel,Individual,Manual,First Owner,24.2,1498,93.87,7
629,2016,315000,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
630,2018,630000,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
631,2016,280000,110000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.74,7
632,2010,180000,55000,Petrol,Individual,Manual,First Owner,19.0,998,67.1,5
633,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5
634,2010,500000,120000,Diesel,Individual,Manual,Second Owner,11.8,1991,150.0,5
635,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5
636,2018,400000,50000,Diesel,Individual,Manual,First Owner,23.5,909,45.0,8
637,2016,800000,80000,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,5
638,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
639,2006,300000,140000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8
640,2013,200000,68697,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5
641,2011,350000,116500,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
642,2012,320000,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5
643,2015,1250000,160000,Diesel,Individual,Manual,Second Owner,13.5,2477,178.0,7
644,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
645,2017,750000,51000,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5
646,2010,229999,170000,Diesel,Individual,Manual,Second Owner,17.8,1399,68.0,5
